DATE,CIVPART
1972-01-01,60.3000000000000000
1972-04-01,60.4000000000000000
1972-07-01,60.4666666666666667
1972-10-01,60.3666666666666667
1973-01-01,60.4333333333333333
1973-04-01,60.7666666666666667
1973-07-01,60.8000000000000000
1973-10-01,61.1000000000000000
1974-01-01,61.3333333333333333
1974-04-01,61.1666666666666667
1974-07-01,61.3333333333333333
1974-10-01,61.2666666666666667
1975-01-01,61.2000000000000000
1975-04-01,61.3333333333333333
1975-07-01,61.2666666666666667
1975-10-01,61.1333333333333333
1976-01-01,61.3000000000000000
1976-04-01,61.5333333333333333
1976-07-01,61.7333333333333333
1976-10-01,61.7666666666666667
1977-01-01,61.8333333333333333
1977-04-01,62.2333333333333333
1977-07-01,62.2333333333333333
1977-10-01,62.6333333333333333
1978-01-01,62.7666666666666667
1978-04-01,63.1333333333333333
1978-07-01,63.2333333333333333
1978-10-01,63.4666666666666667
1979-01-01,63.7333333333333333
1979-04-01,63.4333333333333333
1979-07-01,63.6666666666666667
1979-10-01,63.7666666666666667
1980-01-01,63.9000000000000000
1980-04-01,63.8000000000000000
1980-07-01,63.7000000000000000
1980-10-01,63.7000000000000000
1981-01-01,63.9666666666666667
1981-04-01,64.0666666666666667
1981-07-01,63.7000000000000000
1981-10-01,63.7666666666666667
1982-01-01,63.7666666666666667
1982-04-01,64.0000000000000000
1982-07-01,64.0666666666666667
1982-10-01,64.1333333333333333
1983-01-01,63.8000000000000000
1983-04-01,63.9333333333333333
1983-07-01,64.2333333333333333
1983-10-01,64.0666666666666667
1984-01-01,64.0333333333333333
1984-04-01,64.4666666666666667
1984-07-01,64.4666666666666667
1984-10-01,64.5000000000000000
1985-01-01,64.7666666666666667
1985-04-01,64.7666666666666667
1985-07-01,64.7333333333333333
1985-10-01,64.9666666666666667
1986-01-01,65.0000000000000000
1986-04-01,65.2333333333333333
1986-07-01,65.3666666666666667
1986-10-01,65.3666666666666667
1987-01-01,65.4666666666666667
1987-04-01,65.5333333333333333
1987-07-01,65.6000000000000000
1987-10-01,65.7000000000000000
1988-01-01,65.8000000000000000
1988-04-01,65.7666666666666667
1988-07-01,65.9666666666666667
1988-10-01,66.1000000000000000
1989-01-01,66.3666666666666667
1989-04-01,66.4000000000000000
1989-07-01,66.4666666666666667
1989-10-01,66.5333333333333333
1990-01-01,66.7333333333333333
1990-04-01,66.5333333333333333
1990-07-01,66.4666666666666667
1990-10-01,66.4000000000000000
1991-01-01,66.2333333333333333
1991-04-01,66.2666666666666667
1991-07-01,66.1000000000000000
1991-10-01,66.0666666666666667
1992-01-01,66.3000000000000000
1992-04-01,66.6000000000000000
1992-07-01,66.6000000000000000
1992-10-01,66.2666666666666667
1993-01-01,66.2000000000000000
1993-04-01,66.3333333333333333
1993-07-01,66.3333333333333333
1993-10-01,66.3333333333333333
1994-01-01,66.5666666666666667
1994-04-01,66.5000000000000000
1994-07-01,66.5333333333333333
1994-10-01,66.7000000000000000
1995-01-01,66.7666666666666667
1995-04-01,66.6333333333333333
1995-07-01,66.6000000000000000
1995-10-01,66.5000000000000000
1996-01-01,66.5333333333333333
1996-04-01,66.7000000000000000
1996-07-01,66.8333333333333333
1996-10-01,67.0000000000000000
1997-01-01,67.0000000000000000
1997-04-01,67.1000000000000000
1997-07-01,67.1666666666666667
1997-10-01,67.1666666666666667
1998-01-01,67.1000000000000000
1998-04-01,67.0000000000000000
1998-07-01,67.0666666666666667
1998-10-01,67.1666666666666667
1999-01-01,67.1333333333333333
1999-04-01,67.1000000000000000
1999-07-01,67.0333333333333333
1999-10-01,67.0666666666666667
2000-01-01,67.3000000000000000
2000-04-01,67.1666666666666667
2000-07-01,66.9000000000000000
2000-10-01,66.9000000000000000
2001-01-01,67.1666666666666667
2001-04-01,66.7666666666666667
2001-07-01,66.7000000000000000
2001-10-01,66.7000000000000000
2002-01-01,66.6333333333333333
2002-04-01,66.6666666666666667
2002-07-01,66.6000000000000000
2002-10-01,66.4333333333333333
2003-01-01,66.3666666666666667
2003-04-01,66.4333333333333333
2003-07-01,66.1333333333333333
2003-10-01,66.0333333333333333
2004-01-01,66.0333333333333333
2004-04-01,66.0000000000000000
2004-07-01,65.9666666666666667
2004-10-01,65.9333333333333333
2005-01-01,65.8666666666666667
2005-04-01,66.1000000000000000
2005-07-01,66.1333333333333333
2005-10-01,66.0333333333333333
2006-01-01,66.1000000000000000
2006-04-01,66.1333333333333333
2006-07-01,66.1333333333333333
2006-10-01,66.3000000000000000
2007-01-01,66.3000000000000000
2007-04-01,65.9666666666666667
2007-07-01,65.9333333333333333
2007-10-01,65.9333333333333333
2008-01-01,66.1000000000000000
2008-04-01,66.0333333333333333
2008-07-01,66.0666666666666667
2008-10-01,65.9000000000000000
2009-01-01,65.7000000000000000
2009-04-01,65.7000000000000000
2009-07-01,65.3333333333333333
2009-10-01,64.8666666666666667
2010-01-01,64.8666666666666667
2010-04-01,64.9000000000000000
2010-07-01,64.6333333333333333
2010-10-01,64.4333333333333333
2011-01-01,64.1666666666666667
2011-04-01,64.1000000000000000
2011-07-01,64.1000000000000000
2011-10-01,64.0666666666666667
2012-01-01,63.7666666666666667
2012-04-01,63.7333333333333333
2012-07-01,63.6000000000000000
2012-10-01,63.7000000000000000
2013-01-01,63.4666666666666667
2013-04-01,63.4000000000000000
2013-07-01,63.2666666666666667
2013-10-01,62.9000000000000000
2014-01-01,62.9666666666666667
2014-04-01,62.8333333333333333
2014-07-01,62.8666666666666667
2014-10-01,62.8666666666666667
2015-01-01,62.7333333333333333
2015-04-01,62.8000000000000000
