DATE,CPIAUCSL
1972-01-01,41.3333333333333333
1972-04-01,41.6000000000000000
1972-07-01,41.9333333333333333
1972-10-01,42.3666666666666667
1973-01-01,43.0333333333333333
1973-04-01,43.9333333333333333
1973-07-01,44.8000000000000000
1973-10-01,45.9333333333333333
1974-01-01,47.3000000000000000
1974-04-01,48.5666666666666667
1974-07-01,49.9333333333333333
1974-10-01,51.4666666666666667
1975-01-01,52.5666666666666667
1975-04-01,53.2000000000000000
1975-07-01,54.2666666666666667
1975-10-01,55.2666666666666667
1976-01-01,55.9000000000000000
1976-04-01,56.4000000000000000
1976-07-01,57.3000000000000000
1976-10-01,58.1333333333333333
1977-01-01,59.2000000000000000
1977-04-01,60.2333333333333333
1977-07-01,61.0666666666666667
1977-10-01,61.9666666666666667
1978-01-01,63.0333333333333333
1978-04-01,64.4666666666666667
1978-07-01,65.9666666666666667
1978-10-01,67.5000000000000000
1979-01-01,69.2000000000000000
1979-04-01,71.4000000000000000
1979-07-01,73.7000000000000000
1979-10-01,76.0333333333333333
1980-01-01,79.0333333333333333
1980-04-01,81.7000000000000000
1980-07-01,83.2333333333333333
1980-10-01,85.5666666666666667
1981-01-01,87.9333333333333333
1981-04-01,89.7666666666666667
1981-07-01,92.2666666666666667
1981-10-01,93.7666666666666667
1982-01-01,94.6000000000000000
1982-04-01,95.9666666666666667
1982-07-01,97.6333333333333333
1982-10-01,97.9333333333333333
1983-01-01,98.0000000000000000
1983-04-01,99.1333333333333333
1983-07-01,100.1000000000000000
1983-10-01,101.1000000000000000
1984-01-01,102.5333333333333333
1984-04-01,103.5000000000000000
1984-07-01,104.4000000000000000
1984-10-01,105.3000000000000000
1985-01-01,106.2666666666666667
1985-04-01,107.2333333333333333
1985-07-01,107.9000000000000000
1985-10-01,109.0000000000000000
1986-01-01,109.5666666666666667
1986-04-01,109.0333333333333333
1986-07-01,109.7000000000000000
1986-10-01,110.4666666666666667
1987-01-01,111.8000000000000000
1987-04-01,113.0666666666666667
1987-07-01,114.2666666666666667
1987-10-01,115.3333333333333333
1988-01-01,116.2333333333333333
1988-04-01,117.5666666666666667
1988-07-01,119.0000000000000000
1988-10-01,120.3000000000000000
1989-01-01,121.6666666666666667
1989-04-01,123.6333333333333333
1989-07-01,124.6000000000000000
1989-10-01,125.8666666666666667
1990-01-01,128.0333333333333333
1990-04-01,129.3000000000000000
1990-07-01,131.5333333333333333
1990-10-01,133.7666666666666667
1991-01-01,134.7666666666666667
1991-04-01,135.5666666666666667
1991-07-01,136.6000000000000000
1991-10-01,137.7333333333333333
1992-01-01,138.6666666666666667
1992-04-01,139.7333333333333333
1992-07-01,140.8000000000000000
1992-10-01,142.0333333333333333
1993-01-01,143.0666666666666667
1993-04-01,144.1000000000000000
1993-07-01,144.7666666666666667
1993-10-01,145.9666666666666667
1994-01-01,146.7000000000000000
1994-04-01,147.5333333333333333
1994-07-01,148.9000000000000000
1994-10-01,149.7666666666666667
1995-01-01,150.8666666666666667
1995-04-01,152.1000000000000000
1995-07-01,152.8666666666666667
1995-10-01,153.7000000000000000
1996-01-01,155.0666666666666667
1996-04-01,156.4000000000000000
1996-07-01,157.3000000000000000
1996-10-01,158.6666666666666667
1997-01-01,159.6333333333333333
1997-04-01,160.0000000000000000
1997-07-01,160.8000000000000000
1997-10-01,161.6666666666666667
1998-01-01,162.0000000000000000
1998-04-01,162.5333333333333333
1998-07-01,163.3666666666666667
1998-10-01,164.1333333333333333
1999-01-01,164.7333333333333333
1999-04-01,165.9666666666666667
1999-07-01,167.2000000000000000
1999-10-01,168.4333333333333333
2000-01-01,170.1000000000000000
2000-04-01,171.4333333333333333
2000-07-01,173.0000000000000000
2000-10-01,174.2333333333333333
2001-01-01,175.9000000000000000
2001-04-01,177.1333333333333333
2001-07-01,177.6333333333333333
2001-10-01,177.5000000000000000
2002-01-01,178.0666666666666667
2002-04-01,179.4666666666666667
2002-07-01,180.4333333333333333
2002-10-01,181.5000000000000000
2003-01-01,183.3666666666666667
2003-04-01,183.0666666666666667
2003-07-01,184.4333333333333333
2003-10-01,185.1333333333333333
2004-01-01,186.7000000000000000
2004-04-01,188.1666666666666667
2004-07-01,189.3666666666666667
2004-10-01,191.4000000000000000
2005-01-01,192.3666666666666667
2005-04-01,193.6666666666666667
2005-07-01,196.6000000000000000
2005-10-01,198.4333333333333333
2006-01-01,199.4666666666666667
2006-04-01,201.2666666666666667
2006-07-01,203.1666666666666667
2006-10-01,202.3333333333333333
2007-01-01,204.3170000000000000
2007-04-01,206.6310000000000000
2007-07-01,207.9390000000000000
2007-10-01,210.4896666666666667
2008-01-01,212.7696666666666667
2008-04-01,215.5376666666666667
2008-07-01,218.8610000000000000
2008-10-01,213.8486666666666667
2009-01-01,212.3776666666666667
2009-04-01,213.5070000000000000
2009-07-01,215.3440000000000000
2009-10-01,217.0300000000000000
2010-01-01,217.3740000000000000
2010-04-01,217.2973333333333333
2010-07-01,217.9343333333333333
2010-10-01,219.6990000000000000
2011-01-01,222.0436666666666667
2011-04-01,224.5683333333333333
2011-07-01,226.0326666666666667
2011-10-01,227.0473333333333333
2012-01-01,228.3260000000000000
2012-04-01,228.8080000000000000
2012-07-01,229.8410000000000000
2012-10-01,231.3693333333333333
2013-01-01,232.2993333333333333
2013-04-01,232.0450000000000000
2013-07-01,233.3000000000000000
2013-10-01,234.1626666666666667
2014-01-01,235.6210000000000000
2014-04-01,236.8723333333333333
2014-07-01,237.4783333333333333
2014-10-01,236.8883333333333333
2015-01-01,235.3550000000000000
2015-04-01,236.9600000000000000
2015-07-01,237.8550000000000000
2015-10-01,237.8370000000000000
2016-01-01,237.6893333333333333
2016-04-01,239.5903333333333333
2016-07-01,240.6073333333333333
2016-10-01,242.1346666666666667
2017-01-01,243.8386666666666667
2017-04-01,244.1200000000000000
2017-07-01,245.2870000000000000
2017-10-01,247.2383333333333333
2018-01-01,249.3216666666666667
2018-04-01,250.6790000000000000
2018-07-01,251.6863333333333333
2018-10-01,252.7110000000000000
2019-01-01,253.4140000000000000
2019-04-01,255.2200000000000000
2019-07-01,256.0850000000000000
2019-10-01,257.8876666666666667
2020-01-01,258.8030000000000000
2020-04-01,256.3153333333333333
2020-07-01,259.2393333333333333
2020-10-01,261.0446666666666667
