,DATE,CIVPART,CPIAUCSL,FEDFUNDS,GDPC1,IPMAN,UNRATE,M2V,W823RC1
0,1972-01-01,60.3,41.33333333333333,3.546666666666667,5632.649,36.21153333333333,5.766666666666667,1.696,38.3
1,1972-04-01,60.4,41.6,4.3,5760.47,36.959,5.7,1.703,38.73333333333333
2,1972-07-01,60.46666666666666,41.93333333333333,4.743333333333333,5814.854,37.4665,5.566666666666666,1.679,39.3
3,1972-10-01,60.36666666666667,42.36666666666667,5.1466666666666665,5912.22,38.89093333333333,5.366666666666666,1.673,47.46666666666666
4,1973-01-01,60.43333333333333,43.03333333333333,6.536666666666666,6058.544,40.181266666666666,4.933333333333333,1.694,49.06666666666666
5,1973-04-01,60.766666666666666,43.93333333333333,7.8166666666666655,6124.506,40.5613,4.933333333333333,1.71,50.33333333333333
6,1973-07-01,60.8,44.8,10.56,6092.301,40.883133333333326,4.8,1.711,51.2
7,1973-10-01,61.1,45.93333333333333,9.996666666666666,6150.131,41.67046666666666,4.766666666666667,1.739,52.0
8,1974-01-01,61.33333333333333,47.3,9.32333333333333,6097.258,41.2991,5.133333333333333,1.725,52.46666666666666
9,1974-04-01,61.166666666666664,48.56666666666666,11.25,6111.751,41.24603333333333,5.2,1.748,56.93333333333333
10,1974-07-01,61.33333333333333,49.93333333333333,12.09,6053.978,41.103566666666666,5.633333333333333,1.764,59.83333333333333
11,1974-10-01,61.266666666666666,51.46666666666666,9.346666666666666,6030.464,39.2767,6.6,1.781,61.23333333333333
12,1975-01-01,61.2,52.56666666666666,6.303333333333333,5957.035,35.99283333333333,8.266666666666666,1.766,62.0
13,1975-04-01,61.33333333333333,53.2,5.42,5999.61,35.376266666666666,8.866666666666665,1.741,62.9
14,1975-07-01,61.266666666666666,54.266666666666666,6.16,6102.326,36.53483333333333,8.466666666666665,1.739,69.0
15,1975-10-01,61.133333333333326,55.266666666666666,5.413333333333333,6184.53,37.5162,8.3,1.75,69.66666666666666
16,1976-01-01,61.3,55.9,4.826666666666666,6323.649,38.802566666666664,7.7333333333333325,1.752,70.96666666666667
17,1976-04-01,61.53333333333333,56.4,5.196666666666666,6370.025,39.4422,7.5666666666666655,1.731,71.43333333333332
18,1976-07-01,61.73333333333333,57.3,5.283333333333333,6404.895,40.0169,7.7333333333333325,1.717,77.0
19,1976-10-01,61.766666666666666,58.133333333333326,4.873333333333333,6451.177,40.61676666666666,7.766666666666666,1.699,78.63333333333333
20,1977-01-01,61.83333333333333,59.2,4.66,6527.703,41.65786666666666,7.5,1.689,79.2
21,1977-04-01,62.23333333333333,60.23333333333333,5.156666666666666,6654.466,43.1144,7.133333333333333,1.701,80.36666666666666
22,1977-07-01,62.23333333333333,61.06666666666666,5.82,6774.457,43.6456,6.9,1.713,86.26666666666665
23,1977-10-01,62.633333333333326,61.96666666666666,6.513333333333333,6774.592,44.06553333333333,6.666666666666666,1.715,87.1
24,1978-01-01,62.766666666666666,63.03333333333333,6.756666666666667,6796.26,44.11696666666666,6.333333333333333,1.713,87.8
